id	r	g	b
0	168	169	201
1	136	91	134
2	135	93	127
3	133	95	121
4	131	98	114
5	127	100	107
6	123	102	101
7	119	105	97
8	114	107	94
9	108	109	92
10	102	111	93
11	96	113	95
12	89	115	98
13	83	116	103
14	76	117	109
15	70	118	116
16	65	119	123
17	61	119	129
18	58	119	135
19	57	118	140
20	57	117	145
21	59	116	149
22	63	114	152
23	68	112	155
24	75	110	158
25	83	107	160
26	91	104	161
27	100	101	162
28	108	98	162
29	115	95	161
30	121	93	160
31	126	91	158
32	130	89	155
33	133	88	152
34	135	88	148
35	136	89	144
36	136	90	139
37	143	102	143
38	143	104	137
39	141	106	131
40	139	108	125
41	136	111	119
42	133	113	114
43	128	116	110
44	124	118	107
45	118	120	106
46	113	122	106
47	106	124	108
48	100	125	111
49	94	126	116
50	87	127	121
51	81	128	127
52	75	128	133
53	71	128	139
54	68	128	144
55	67	127	148
56	67	126	152
57	69	125	155
58	73	124	159
59	79	122	162
60	86	120	165
61	94	117	167
62	102	115	168
63	110	112	169
64	118	109	169
65	124	106	168
66	130	104	167
67	134	101	165
68	138	100	162
69	141	99	159
70	142	99	155
71	143	99	151
72	144	100	147
73	149	111	149
74	149	113	145
75	148	115	140
76	146	117	135
77	143	120	130
78	140	122	125
79	136	125	121
80	132	127	118
81	127	129	117
82	122	131	118
83	116	132	119
84	110	134	122
85	104	135	126
86	97	136	131
87	91	136	137
88	85	137	142
89	81	136	146
90	78	136	151
91	77	135	155
92	77	135	158
93	79	134	162
94	83	132	165
95	89	131	169
96	96	129	172
97	104	126	174
98	112	124	176
99	120	121	177
100	127	119	177
101	133	116	176
102	138	113	174
103	142	111	172
104	145	109	169
105	147	108	165
106	149	108	161
107	149	108	158
108	150	109	154
109	154	119	155
110	154	121	151
111	153	123	147
112	151	125	142
113	149	128	138
114	146	130	134
115	143	133	130
116	139	135	128
117	135	137	127
118	130	138	127
119	124	140	129
120	119	141	132
121	112	142	135
122	106	143	139
123	100	143	144
124	94	143	148
125	90	143	152
126	87	143	156
127	86	142	160
128	86	142	164
129	89	141	168
130	93	140	172
131	99	138	176
132	106	137	179
133	114	135	182
134	121	132	184
135	128	130	185
136	135	127	185
137	140	125	184
138	145	122	182
139	148	120	179
140	151	118	175
141	152	117	171
142	154	117	167
143	154	117	163
144	154	118	159
