id	r	g	b
0	173	175	172
1	143	88	99
2	142	90	85
3	139	93	70
4	136	95	55
5	132	98	42
6	127	101	31
7	121	104	23
8	115	107	18
9	108	109	16
10	100	112	17
11	92	114	21
12	83	116	27
13	75	118	36
14	66	120	48
15	58	122	62
16	50	123	77
17	45	124	91
18	40	124	105
19	38	124	117
20	39	123	127
21	41	122	135
22	47	120	142
23	54	118	147
24	65	115	151
25	77	112	154
26	89	108	156
27	101	104	157
28	112	100	157
29	122	96	156
30	129	92	154
31	135	89	151
32	139	87	147
33	142	85	141
34	144	85	134
35	145	85	124
36	145	87	112
37	152	102	112
38	150	104	98
39	148	107	84
40	145	109	69
41	141	112	55
42	137	114	43
43	132	117	34
44	127	120	29
45	120	122	27
46	113	125	28
47	106	127	32
48	97	129	39
49	89	131	49
50	80	132	62
51	72	134	76
52	64	135	91
53	58	135	105
54	54	136	118
55	52	135	129
56	52	135	137
57	55	134	144
58	60	132	150
59	69	130	154
60	79	128	158
61	91	125	161
62	103	121	163
63	115	117	165
64	125	113	164
65	133	109	163
66	139	106	161
67	144	103	158
68	148	100	154
69	150	99	149
70	152	99	143
71	153	99	135
72	152	100	124
73	158	114	123
74	157	116	111
75	155	119	96
76	152	121	82
77	149	123	67
78	145	126	55
79	141	128	45
80	136	131	40
81	131	133	38
82	124	135	39
83	117	137	43
84	110	139	51
85	102	140	61
86	93	142	74
87	85	143	89
88	77	144	103
89	71	145	117
90	67	145	128
91	64	144	138
92	65	144	145
93	68	143	151
94	73	141	156
95	82	140	161
96	92	138	165
97	104	135	168
98	116	132	171
99	126	129	172
100	135	125	172
101	142	121	170
102	147	118	168
103	151	115	165
104	154	112	160
105	157	111	155
106	158	111	150
107	158	111	143
108	158	113	134
109	163	125	132
110	162	127	121
111	160	129	108
112	158	131	93
113	155	133	79
114	152	135	67
115	148	137	57
116	144	139	51
117	139	141	48
118	134	143	50
119	127	145	54
120	120	147	62
121	113	148	73
122	105	150	86
123	97	151	101
124	89	151	114
125	83	152	127
126	79	152	137
127	76	151	145
128	77	151	151
129	80	150	157
130	86	149	162
131	94	148	167
132	105	146	171
133	116	144	175
134	126	142	178
135	136	139	179
136	143	135	179
137	149	132	177
138	154	128	175
139	157	125	171
140	160	123	166
141	162	122	161
142	163	121	155
143	164	122	149
144	164	123	142
145	168	133	140
146	167	135	130
147	165	137	117
148	163	139	104
149	160	141	90
150	157	143	78
151	153	145	68
152	150	146	61
153	146	148	59
154	141	150	60
155	136	151	65
156	130	153	73
157	123	154	84
158	115	156	97
159	107	157	111
160	100	157	124
161	94	157	135
162	90	157	144
163	88	157	151
164	88	156	157
165	92	156	162
166	98	155	168
167	106	154	173
168	116	153	178
169	126	151	182
170	136	149	185
171	144	147	186
172	150	144	186
173	156	141	185
174	159	137	182
175	162	135	177
176	165	132	172
177	167	131	166
178	168	130	161
179	168	131	155
180	169	132	148
181	173	141	146
182	172	142	137
183	170	144	126
184	168	146	114
185	165	148	100
186	162	149	88
187	158	151	78
188	155	152	72
189	151	154	69
190	147	155	71
191	143	157	76
192	137	158	84
193	131	160	94
194	124	161	107
195	117	162	120
196	110	162	132
197	105	162	142
198	100	162	149
199	98	162	156
200	99	161	162
201	102	161	168
202	108	160	174
203	116	160	180
204	125	159	185
205	135	158	189
206	143	156	192
207	151	153	194
208	156	151	193
209	161	148	192
210	164	145	188
211	167	143	184
212	170	140	178
213	172	139	172
214	173	138	166
215	174	138	159
216	174	139	153
217	179	147	151
218	177	149	143
219	176	150	133
220	173	152	122
221	170	153	110
222	167	154	98
223	163	156	88
224	160	157	82
225	156	159	79
226	152	160	81
227	148	162	86
228	144	163	94
229	139	164	104
230	132	166	116
231	126	166	128
232	119	167	139
233	114	167	147
234	110	167	154
235	108	166	161
236	109	166	167
237	112	166	173
238	118	165	180
239	125	165	186
240	134	164	192
241	143	163	196
242	150	161	199
243	156	159	201
244	161	157	200
245	166	154	199
246	169	152	195
247	172	149	191
248	175	147	185
249	177	146	178
250	178	145	171
251	179	145	164
252	179	146	158
253	184	152	155
254	183	154	148
255	181	155	139
256	178	157	129
257	175	158	118
258	172	159	107
259	168	160	97
260	164	162	91
261	160	163	89
262	157	164	90
263	153	166	95
264	149	167	103
265	145	169	113
266	139	170	124
267	133	171	135
268	127	171	144
269	122	171	152
270	119	171	158
271	117	171	165
272	118	170	172
273	121	170	179
274	127	170	186
275	134	170	193
276	141	169	198
277	149	168	203
278	156	166	206
279	161	164	207
280	166	162	207
281	170	160	205
282	174	157	202
283	177	155	197
284	180	153	191
285	182	152	184
286	184	151	176
287	185	151	169
288	185	151	162
289	190	157	159
290	189	158	152
291	187	159	145
292	184	161	136
293	180	162	125
294	177	163	115
295	172	165	106
296	168	166	100
297	165	167	98
298	161	169	99
299	157	170	104
300	154	172	111
301	150	173	120
302	145	174	131
303	139	175	141
304	134	176	149
305	130	176	156
306	126	175	163
307	125	175	170
308	126	175	177
309	130	175	184
310	135	175	192
311	141	174	199
312	148	173	205
313	155	172	209
314	161	171	212
315	166	169	214
316	171	167	213
317	175	164	212
318	179	162	208
319	183	160	204
320	186	159	197
321	188	157	190
322	190	156	182
323	191	156	174
324	191	156	166
325	196	161	163
326	194	162	156
327	192	163	149
328	189	165	141
329	186	166	132
330	182	167	122
331	177	169	114
332	173	170	108
333	169	171	106
334	165	173	107
335	161	175	112
336	158	176	119
337	154	178	127
338	149	179	137
339	145	180	145
340	140	180	153
341	136	180	160
342	133	180	167
343	133	180	174
344	134	180	182
345	137	180	190
346	142	180	198
347	147	179	205
348	154	178	211
349	160	176	216
350	165	175	218
351	170	173	220
352	175	171	219
353	180	169	218
354	184	167	214
355	188	165	210
356	192	163	203
357	194	162	196
358	196	161	187
359	197	160	179
360	197	161	170
